Country,Population,Density,Migrants,FertRate,MedianAge
China,1440297825,153,-348399,1.7,38
India,1382345085,464,-532687,2.2,28
United States,331341050,36,954806,1.8,38
Indonesia,274021604,151,-98955,2.3,30
Pakistan,221612785,287,-233379,3.6,23
Brazil,212821986,25,21200,1.7,33
Nigeria,206984347,226,-60000,5.4,18
Bangladesh,164972348,1265,-369501,2.1,28
Russia,145945524,9,182456,1.8,40
Mexico,129166028,66,-60000,2.1,29
Japan,126407422,347,71560,1.4,48
Ethiopia,115434444,115,30000,4.3,19
Philippines,109830324,368,-67152,2.6,26
Egypt,102659126,103,-38033,3.3,25
Vietnam,97490013,314,-80000,2.1,32
DR Congo,90003954,40,23861,6,17
Turkey,84495243,110,283922,2.1,32
Iran,84176929,52,-55000,2.2,32
Germany,83830972,240,543822,1.6,46
Thailand,69830779,137,19444,1.5,40
United Kingdom,67948282,281,260650,1.8,40
France,65298930,119,36527,1.9,42
Italy,60446035,206,148943,1.3,47
Tanzania,60012400,67,-40076,4.9,18
South Africa,59436725,49,145405,2.4,28
Myanmar,54473253,83,-163313,2.2,29
Kenya,53968739,94,-10000,3.5,20
South Korea,51276977,527,11731,1.1,44
Colombia,50976248,46,204796,1.8,31
Spain,46757980,94,40000,1.3,45
Uganda,45974931,229,168694,5,17
Argentina,45267449,17,4800,2.3,32
Algeria,43984569,18,-10000,3.1,29
Sudan,44019263,25,-50000,4.4,20
Ukraine,43686577,75,10000,1.4,41
Iraq,40372771,93,7834,3.7,21
Afghanistan,39074280,60,-62920,4.6,18
Poland,37839255,124,-29395,1.4,42
Canada,37799407,4,242032,1.5,41
Morocco,36985624,83,-51419,2.4,30
Saudi Arabia,34905942,16,134979,2.3,32
Uzbekistan,33551824,79,-8863,2.4,28
Peru,33050211,26,99069,2.3,31
Angola,33032075,26,6413,5.6,17
Malaysia,32436963,99,50000,2,30
Mozambique,31398811,40,-5000,4.9,18
Ghana,31181428,137,-10000,3.9,22
Yemen,29935468,56,-30000,3.8,20
Nepal,29225196,203,41710,1.9,25
Venezuela,28421581,32,-653249,2.3,30
Madagascar,27808395,48,-1500,4.1,20
Cameroon,26655083,56,-4800,4.6,19
Côte d'Ivoire,26486282,83,-8000,4.7,19
North Korea,25798588,214,-5403,1.9,35
Australia,25550683,3,158246,1.8,38
Niger,24346468,19,4000,7,15
Taiwan,23824369,673,30001,1.2,42
Sri Lanka,21428970,341,-97986,2.2,34
Burkina Faso,20997293,76,-25000,5.2,18
Mali,20346106,17,-40000,5.9,16
Romania,19214608,84,-73999,1.6,43
Malawi,19211425,203,-16053,4.3,18
Chile,19144605,26,111708,1.7,35
Kazakhstan,18815231,7,-18000,2.8,31
Zambia,18468257,25,-8000,4.7,18
Guatemala,17971382,167,-9215,2.9,23
Ecuador,17688599,71,36400,2.4,28
Syria,17571053,95,-427391,2.8,26
Netherlands,17141544,508,16000,1.7,43
Senegal,16816539,87,-20000,4.7,19
Cambodia,16758448,95,-30000,2.5,26
Chad,16502877,13,2000,5.8,17
Somalia,15965848,25,-40000,6.1,17
Zimbabwe,14899771,38,-116858,3.6,19
Guinea,13191279,53,-4000,4.7,18
Rwanda,13005303,525,-9000,4.1,20
Benin,12175480,108,-2000,4.9,19
Burundi,11948454,463,2001,5.5,17
Tunisia,11839918,76,-4000,2.2,33
Bolivia,11700207,11,-9504,2.8,26
Belgium,11598451,383,48000,1.7,42
Haiti,11426356,414,-35000,3,24
Cuba,11325391,106,-14400,1.6,42
South Sudan,11216250,18,-174200,4.7,19
Dominican Republic,10866667,225,-30000,2.4,28
Czech Republic (Czechia),10712481,139,22011,1.6,43
Greece,10413936,81,-16000,1.3,46
Jordan,10220604,115,10220,2.8,24
Portugal,10191409,111,-6000,1.3,46
Azerbaijan,10154978,123,1200,2.1,32
Sweden,10110233,25,40000,1.9,41
Honduras,9931333,89,-6800,2.5,24
United Arab Emirates,9910892,118,40000,1.4,33
Hungary,9655983,107,6000,1.5,43
Tajikistan,9573310,68,-20000,3.6,22
Belarus,9448772,47,8730,1.7,40
Austria,9015361,109,65000,1.5,43
Papua New Guinea,8975531,20,-800,3.6,22
Serbia,8731081,100,4000,1.5,42
Israel,8678517,400,10000,3,30
Switzerland,8665615,219,52000,1.5,43
Togo,8310934,152,-2000,4.4,19
Sierra Leone,8004158,111,-4200,4.3,19
Hong Kong,7507523,7140,29308,1.3,45
Laos,7293542,32,-14704,2.7,24
Paraguay,7147553,18,-16556,2.4,26
Bulgaria,6939018,64,-4800,1.6,45
Libya,6887247,4,-1999,2.3,29
Lebanon,6819976,667,-30012,2.1,30
Nicaragua,6638075,55,-21272,2.4,26
Kyrgyzstan,6542426,34,-4000,3,26
El Salvador,6491923,313,-40539,2.1,28
Turkmenistan,6046292,13,-5000,2.8,27
Singapore,5858322,8358,27028,1.2,42
Denmark,5795780,137,15200,1.8,42
Finland,5542237,18,14000,1.5,43
Congo,5540555,16,-4000,4.5,19
Slovakia,5460109,114,1485,1.5,41
Norway,5428594,15,28000,1.7,40
Oman,5128058,16,87400,2.9,31
State of Palestine,5121112,847,-10563,3.7,21
Costa Rica,5102158,100,4200,1.8,33
Liberia,5077411,53,-5000,4.4,19
Ireland,4947267,72,23604,1.8,38
Central African Republic,4843954,8,-40000,4.8,18
New Zealand,4829021,18,14881,1.9,38
Mauritania,4669775,5,5000,4.6,20
Panama,4326296,58,11200,2.5,30
Kuwait,4281320,240,39520,2.1,37
Croatia,4100719,73,-8001,1.4,44
Moldova,4032294,123,-1387,1.3,38
Georgia,3987805,57,-10000,2.1,38
Eritrea,3554797,35,-39858,4.1,19
Uruguay,3475842,20,-3000,2,36
Bosnia and Herzegovina,3277152,64,-21585,1.3,43
Mongolia,3287242,2,-852,2.9,28
Armenia,2964219,104,-4998,1.8,35
Jamaica,2963429,273,-11332,2,31
Qatar,2889284,248,40000,1.9,32
Albania,2877239,105,-14000,1.6,36
Puerto Rico,2846860,323,-97986,1.2,44
Lithuania,2715340,43,-32780,1.7,45
Namibia,2548663,3,-4806,3.4,22
Gambia,2427782,239,-3087,5.3,18
Botswana,2359585,4,3000,2.9,24
Gabon,2234448,9,3260,4,23
Lesotho,2145194,71,-10047,3.2,24
North Macedonia,2083359,83,-1000,1.5,39
Slovenia,2078989,103,2000,1.6,45
Guinea-Bissau,1975718,70,-1399,4.5,19
Latvia,1882408,30,-14837,1.7,44
Bahrain,1711057,2239,47800,2,32
Equatorial Guinea,1410419,50,16000,4.6,22
Trinidad and Tobago,1400283,273,-800,1.7,36
Estonia,1326693,31,3911,1.6,42
Timor-Leste,1322667,89,-5385,4.1,21
Mauritius,1272140,626,0,1.4,37
Cyprus,1208886,131,5000,1.3,37
Eswatini,1162233,67,-8353,3,21
Djibouti,990447,43,900,2.8,27
Fiji,897573,49,-6202,2.8,28
Réunion,896422,358,-1256,2.3,36
Comoros,872695,467,-2000,4.2,20
Guyana,787215,4,-6000,2.5,27
Bhutan,773069,20,320,2,28
Solomon Islands,689671,25,-1600,4.4,20
Macao,650846,21645,5000,1.2,39
Montenegro,628080,47,-480,1.8,39
Luxembourg,627704,242,9741,1.5,40
Western Sahara,599769,2,5582,2.4,28
Suriname,587541,4,-1000,2.4,29
Cabo Verde,557026,138,-1342,2.3,28
Maldives,542151,1802,11370,1.9,30
Malta,441750,1380,900,1.5,43
Brunei,438202,83,0,1.8,32
Guadeloupe,400136,237,-1440,2.2,44
Belize,398845,17,1200,2.3,25
Bahamas,393893,39,1000,1.8,32
Martinique,375213,354,-960,1.9,47
Iceland,341628,3,380,1.8,37
Vanuatu,308337,25,120,3.8,21
French Guiana,299958,4,1200,3.4,25
Barbados,287437,668,-79,1.6,40
New Caledonia,285972,16,502,2,34
French Polynesia,281191,77,-1000,2,34
Mayotte,273905,728,0,3.7,20
Sao Tome & Principe,219844,228,-1680,4.4,19
Samoa,198643,70,-2803,3.9,22
Saint Lucia,183774,301,0,1.4,34
Channel Islands,174140,915,1351,1.5,43
Guam,169031,313,-506,2.3,31
Curaçao,164211,370,515,1.8,42
Kiribati,119760,147,-800,3.6,23
Micronesia,115231,164,-600,3.1,24
Grenada,112614,331,-200,2.1,32
St. Vincent & Grenadines,111002,284,-200,1.9,33
Aruba,106845,593,201,1.9,41
Tonga,105901,147,-800,3.6,22
U.S. Virgin Islands,104398,298,-451,2,43
Seychelles,98453,214,-200,2.5,34
Antigua and Barbuda,98069,223,0,2,34
Isle of Man,85112,149,,N.A.,N.A.
Andorra,77287,164,,N.A.,N.A.
Dominica,72017,96,,N.A.,N.A.
Cayman Islands,65854,274,,N.A.,N.A.
Bermuda,62237,1246,,N.A.,N.A.
Marshall Islands,59259,329,,N.A.,N.A.
Northern Mariana Islands,57619,125,,N.A.,N.A.
Greenland,56787,0,,N.A.,N.A.
American Samoa,55169,276,,N.A.,N.A.
Saint Kitts & Nevis,53264,205,,N.A.,N.A.
Faeroe Islands,48896,35,,N.A.,N.A.
Sint Maarten,42960,1261,,N.A.,N.A.
Monaco,39290,26337,,N.A.,N.A.
Turks and Caicos,38806,41,,N.A.,N.A.
Saint Martin,38778,730,,N.A.,N.A.
Liechtenstein,38147,238,,N.A.,N.A.
San Marino,33944,566,,N.A.,N.A.
Gibraltar,33689,3369,,N.A.,N.A.
British Virgin Islands,30266,202,,N.A.,N.A.
Caribbean Netherlands,26265,80,,N.A.,N.A.
Palau,18109,39,,N.A.,N.A.
Cook Islands,17567,73,,N.A.,N.A.
Anguilla,15026,167,,N.A.,N.A.
Tuvalu,11817,393,,N.A.,N.A.
Wallis & Futuna,11203,80,,N.A.,N.A.
Nauru,10836,541,,N.A.,N.A.
Saint Barthelemy,9882,470,,N.A.,N.A.
Saint Helena,6080,16,,N.A.,N.A.
Saint Pierre & Miquelon,5789,25,,N.A.,N.A.
Montserrat,4993,50,,N.A.,N.A.
Falkland Islands,3497,0,,N.A.,N.A.
Niue,1628,6,,N.A.,N.A.
Tokelau,1360,136,,N.A.,N.A.
Holy See,801,2003,,N.A.,N.A.
